Tipo de pacote,Quantidade,Preço mínimo,Venda rápida,Preço Liga mais barato,Preço
Heróis Excelsos,11,"12,50","13,70","13,85","15,00"
Battle Styles,1,"75,00","90,00","100,00","100,00"
Escuridão Incandescente,3,"45,00","62,00","69,00","75,00"
Evolving Skies,4,"380,00","425,00","450,00","450,00"
Sword & Shield,2,"75,00","90,00","100,00","100,00"
Fenda Paradoxal,4,"28,00","33,00","39,00","40,00"
Paradox Rift (suíço),1,"36,00","50,00",-,"70,00"
Obsidiana em Chamas,9,"17,50","22,00","24,00","25,00"
Origem Perdida,6,"28,00","35,00","40,00","42,00"
Lost Origin,2,"40,00","58,00",-,"65,00"
Reinado Arrepiante,1,"38,00","52,00","60,00","60,00"
Chilling Reign,2,"86,00","105,00","120,00","120,00"
Fusion Strike,2,"100,00","135,00",-,"180,00"
Golpe Fusão,2,62,72,80,80
Vivid Voltage,4,"85,00","100,00",-,"105,00"
Astros Cintilantes,17,"58,00","72,00","80,00","80,00"
Brilliant Stars,2,"100,00","135,00",-,"180,00"
Amigos da Jornada,18,"9,80","10,25","10,49","12,00"
Escarlate e Violeta,29,26,35,"39,00","40,00"
Estrelas Radiantes,15,25,32,35,35
Astral Radiance,3,72,85,90,90
Evoluções em Paldea,24,20,26,30,30
Megaevolução,102,8,"8,8","8,9",9
Realeza Absoluta,17,38,45,49,50
Pokémon GO (americano),3,50,60,-,75
Pokémon GO (brasileiro),3,35,42,45,45
Caos Ascendente,104,7,"7,6","7,83",8
Caos Ascendente (suíço),1,15,20,-,25
Coroa Estelar,13,13,"14,5","14,7",16
Shining Fates,7,140,170,"182,4",185
Fogo Fantasmagórico,53,"8,2","8,85","8,9","9,2"
Evoluções Prismáticas,45,11,12,"12,18","13,5"
Equilíbrio Perfeito,20,7,"7,5","7,82",8
Equilíbrio Perfeito (suíço),1,15,20,-,25
Total,531,11326,"13477,75","13060,39","14946,1"
