Nome,Número,Coleção,Idioma,Estado,Ano,Tipo,Link Liga,Link MYP,Link Cardmarket,Link Tcgplayer,Link PriceCharting,Minimo,Venda Rapida,Menor Liga,Preço,Quantidade
Greninja V-UNION,SWSH155–SWSH158,Espada e Escudo — Promos,Inglês,NM,2021,V-UNION,https://www.ligapokemon.com.br/?view=cards/card&card=Greninja-V-Union+%284+Cartas%29%20(SWSH155-U/71)&show=10&ed=SSPR&num=SWSH155-U,https://mypcards.com/pokemon/produto/144091/greninja-v-union,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Greninja-V-UNION-V1,https://www.tcgplayer.com/product/248896?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/greninja-v-union-set,142,,200,,1
Mewtwo V-UNION,SWSH159–SWSH162,Espada e Escudo — Promos,Inglês,NM,2021,V-UNION,https://www.ligapokemon.com.br/?view=cards/card&card=Mewtwo-V-Union+%284+Cartas%29%20(SWSH159-U/71)&show=10&ed=SSPR&num=SWSH159-U,https://mypcards.com/pokemon/produto/144095/mewtwo-v-union,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Mewtwo-V-UNION-V1,https://www.tcgplayer.com/product/248895?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/mewtwo-v-union-set,283,,400,,1
Pikachu V-UNIÃO,SWSH139–SWSH142,Espada e Escudo — Promos,Português (PT-BR),NM,2021,V-UNION,https://www.ligapokemon.com.br/?view=cards/card&card=Pikachu-V-Union+%284+Cartas%29%20(SWSH139-U/71)&show=10&ed=SSPR&num=SWSH139-U,https://mypcards.com/pokemon/produto/144334/pikachu-v-union,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Pikachu-V-UNION-V1,https://www.tcgplayer.com/product/251099?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/pikachu-v-union-set,177,,250,,1
Morpeko V-UNIÃO,SWSH287–SWSH290,Espada e Escudo — Promos,Português (PT-BR),NM,2023,V-UNION,https://www.ligapokemon.com.br/?view=cards/card&card=Morpeko%20V-UNION%20(SWSH287)&show=1&ed=SWSHP&num=SWSH287,https://mypcards.com/pokemon/produto/189036/morpeko-v-union,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Morpeko-V-UNION-V6-SWSH287,https://www.tcgplayer.com/product/495215?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/morpeko-v-union-set-swsh287-290,45,,70,,1
Talento do Lauro,139/131,Evoluções Prismáticas,Português (PT-BR),NM,2025,Full Art,https://www.ligapokemon.com.br/?view=cards/card&card=Larry%27s%20Skill%20(139/131)&show=1&ed=PRE&num=139,https://mypcards.com/pokemon/produto/260445/talento-do-lauro,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Larrys-Skill-V2-PRE139,https://www.tcgplayer.com/product/610494?page=1&Language=English,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/larry%27s-skill-139,"4,8",,"6,8",,1
Volo,151/159,Realeza Absoluta,Português (PT-BR),NM,2023,Full Art,https://www.ligapokemon.com.br/?view=cards/card&card=Volo%20(151/159)&show=1&ed=CRZ&num=151,https://mypcards.com/pokemon/produto/180892/volo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Crown-Zenith/Volo-CRZ151,https://www.tcgplayer.com/product/478123?page=1&Language=English,https://www.pricecharting.com/game/pokemon-crown-zenith/volo-151,"12,7",,"17,8",,1
Espadarnaldo e Escudoberto,TG28/TG30,Tempestade Prateada,Português (PT-BR),NM,2022,Full Art,https://www.ligapokemon.com.br/?view=cards/card&card=Sordward%20and%20Shielbert%20(TG28/TG30)&show=1&ed=SITTG&num=TG28,https://mypcards.com/pokemon/produto/175000/espadarnaldo-e-escudoberto,https://www.cardmarket.com/en/Pokemon/Products/Singles/Silver-Tempest/Sordward-Shielbert-SITTG28,https://www.tcgplayer.com/product/452047?page=1&Language=English,https://www.pricecharting.com/game/pokemon-silver-tempest/sordward-%26-shielbert-tg28,17,,"22,5",,1
Cuspidor de Fogo,119/094,Fogo Fantasmagórico,Português (PT-BR),NM,2025,Full Art,https://www.ligapokemon.com.br/?view=cards/card&card=Firebreather%20(119/094)&show=1&ed=PFL&num=119,https://mypcards.com/pokemon/produto/300725/cuspidor-de-fogo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Phantasmal-Flames/Firebreather-V2-PFL119,https://www.tcgplayer.com/product/662158?page=1&Language=English,https://www.pricecharting.com/game/pokemon-phantasmal-flames/firebreather-119,"5,6",,"9,9",,1
Pesquisa de Professores — Prof. Carvalho,24/25,Celebrações,Português (PT-BR),NM,2021,Full Art,https://www.ligapokemon.com.br/?view=cards/card&card=Professor%27s%20Research%3A%20Professor%20Oak%20(24/25)&show=1&ed=CEL&num=24,https://mypcards.com/pokemon/produto/144205/pesquisa-de-professores-prof-carvalho,https://www.cardmarket.com/en/Pokemon/Products/Singles/Celebrations/Professors-Research-Professor-Oak-V2-CEL024,https://www.tcgplayer.com/product/250293?page=1&Language=English,https://www.pricecharting.com/game/pokemon-celebrations/professor%27s-research-24,"13,4",,"23,9",,1
Miriam,251/198,Escarlate e Violeta,Português (PT-BR),NM,2023,Arte Rara Especial,https://www.ligapokemon.com.br/?view=cards/card&card=Miriam%20(251/198)&show=1&ed=SV1&num=251,https://mypcards.com/pokemon/produto/185055/miriam,https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet/Miriam-V3-SVI251,https://www.tcgplayer.com/product/487061/pokemon-sv01-scarlet-and-violet-base-set-miriam-251-198?page=1&Language=English,https://www.pricecharting.com/game/pokemon-scarlet-%26-violet/miriam-251,"122,6",,140,,1
